番号,部署,課・区分,責任者,対象者区分,対象者詳細,評価方式,評価方式詳細,方式選定の理由
1,営業部,営業課,葉田,管理職層,管理職,①,KPI方式,売上・粗利・新規獲得件数などで評価できるため
1,営業部,営業課,葉田,スタッフ層,一般社員,①,KPI方式,個人に数値目標を設定でき達成率で公平に評価可能なため
2,営業部,受注販売課,葉田,管理職層,管理職,③,行動基準評価方式,定型・反復業務が中心で日々の正確性や対応品質を行動基準で評価する方が実態に合うため
2,営業部,受注販売課,葉田,スタッフ層,一般社員,③,行動基準評価方式,個人数値目標よりも受注処理の正確性・対応品質・連携行動を評価する方が実態に合うため
3,クリエイティブ事業部,制作課,坂本,管理職層,管理職,②,タスクログ方式,制作案件は内容と難易度の差が大きく件数だけでは評価できないため
3,クリエイティブ事業部,制作課,坂本,スタッフ層,一般社員,②,タスクログ方式,Redmineでタスク履歴を積み上げて品質と難易度を評価するため
4,クリエイティブ事業部,開発課,坂本,管理職層,管理職,②,タスクログ方式,開発・保守・機能追加は案件ごとに内容と規模が大きく変わるため
4,クリエイティブ事業部,開発課,坂本,スタッフ層,一般社員,②,タスクログ方式,バグ対応や設計難易度も含めて記録で可視化するため
5,マーケティング企画部,部全体,桝井,管理職層,管理職,①②,KPI＋タスクログ併用,ROASや流入数はKPIで施策企画や制作はタスクログで見るため
5,マーケティング企画部,部全体,桝井,スタッフ層,一般社員,①②,KPI＋タスクログ併用,成果創出はKPIで役割遂行と組織貢献はタスクログで評価するため
6,施工事業部,部全体,石川,管理職層,管理職,①,KPI方式,施工件数・工期遵守率・クレーム数などの数値で管理できるため
6,施工事業部,部全体,石川,スタッフ層,現場作業員,③,行動基準評価方式,個人KPI設定が難しく安全・正確・手順遵守が評価の核心となるため
7,物流事業部,部全体,山口,管理職層,管理職,①,KPI方式,在庫差異率・出荷件数・コスト削減などを管理職責任指標として使えるため
7,物流事業部,部全体,山口,スタッフ層,倉庫作業員,③,行動基準評価方式,定型反復業務でチーム指標を個人に割当てにくく作業精度や安全で評価するため
8,事業推進部,部全体,土井,管理職層,管理職,②,タスクログ方式,DX・AI開発や部署横断支援は案件ごとに内容が異なり数値化が難しいため
8,事業推進部,部全体,土井,スタッフ層,一般社員,②,タスクログ方式,改善施策や横断支援の貢献をタスク記録で評価するため
9,総務部,部全体,安藤,管理職層,管理職,①②,KPI＋タスクログ併用,給与処理や採用充足率はKPIで制度整備や改善はタスクログで見るため
9,総務部,部全体,安藤,スタッフ層,事務担当,③,行動基準評価方式,定型業務中心のため手順遵守・正確性・対応品質を行動基準で評価するため
10,全部署共通,部長評価,各部長,部長職,部長,①,KPI方式＋独自評価項目,部門KPI達成率に加えてマネジメントと経営視点の独自項目を評価するため
